aud,review,date,rate,neg,neu,pos,compound,,,,count,,
no n,Finally seen the movie and I have not much to say,1-Oct-21,5,0,1,0,0,,,,,,
Nodnarb N,"It had potential, but marvel really let Scarlet Johansen down.",2-Apr-22,2.5,0,1,0,0,,,,,,
Daniel S,Im not so sure if I like this much just some good action,11-Aug-20,1.5,0.144,0.525,0.33,0.4922,,,,,,
Felix H,"Thor is the starting point for 2 of the most interesting characters of the MCU, Chris Hemsworths Thor and Tom Hiddlestons Loki. These 2, however are not as great as they will become in later entries. The movie succeeds in creating and building Asgard with all its mythos and characters. Sadly, the side characters we got, do not really contribute that much to the story exept for comic relief. As a starting point, this movie is great. When compared to the rest, it is not. 6/10 C-",31-Jul-20,3,0.095,0.789,0.116,0.2744,,,,,,
Leonardo M,"Puede que sea entretenida como olvidable, pero la carisma de Chris Hemsworth y la increíble interpretación de Tom Hiddleston opacan un guión poco original",16-Jul-20,3,0,0.905,0.095,0.3182,,,,,,
Konner W,"Thor is one of the more tame films in the MCU, but that doesn't mean it's not good. Final Grade: B-",15-Jul-20,3,0.135,0.865,0,-0.4782,,,,,,
Ronnie M,Comparable to a Disney Channel Original movie from the late 90's. The cinematography is especially cringeworthy.,15-Jul-20,3,0,0.859,0.141,0.3182,,,,,,
Charlie M,"Some decent moments and action sequences, but it's definitely one of the worse MCU movies.",13-Jul-20,3,0.2,0.628,0.171,-0.1531,,,,,,
Geek S,"The film has good character development and satisfying action, though the number of cliches is horrifying.",10-Jul-20,3,0.162,0.524,0.314,0.3612,,,,,,
Ogn D,Gimme a break. Is this even for adults?,20-Dec-20,1,0,1,0,0,,,,,,
Andrew K,A good epic comic book take of the Norse god of thunder. It moves a bit slow at times but it grows a heart as it progresses. A worthwhile contribution to the foundation of what would become the MCU.,5-Jul-20,3,0,0.829,0.171,0.6808,,,,,,
Kevin M,"Of all the Marvel movies, I’ve seen Thor the least. But after rewatching it for the first time in years. It’s actually pretty solid.",1-Jul-20,3,0,0.78,0.22,0.7351,,,,,,
E C,This film is good but it could have been a lot better in my opinion.,27-Jun-20,3,0,0.674,0.326,0.7003,,,,,,
Michael P,Better than most give it credit for. Good fish-out-water story. Very fun intro to the character.,22-Jun-20,3,0,0.495,0.505,0.9053,,,,,,
Zuhayr M,"Feige tried something new, got Kenneth Branagh do a Shakespearian superhero film. Thank god they casted nobodies like Hemsworth and Hiddleston, now these 2 has cemented their roles as Thor and Loki. Anthony Hopkins gave a good performance as Odin. Natalie Portman is a great actress but she lacked something. The movie does a magnificent job of world building, establishes Asgard and gave good expositions linking real life Norse Mythology and explains it through science and not only just magic. Asgard's set pieces were grand and felt real. Thor getting unworthy and going to earth for a fish-out-of-water story is a great storyline. I really felt bad at the middle when Thor couldn't pick up the hammer. Looking back Tom Hiddleston as Loki is phenomenal. His acting of slowly working, in the back, for jealousy and planning to trap Thor to get unworthy is so great. The Shakespearian elements were great but it cuts short for Earth's story, which is also great but both mashed together didn't feel so right. Execution could have been bettet This movie gives Thor a great character arc for worthyness but for me it felt cliche as we all knew it was ganna happen and Thor going up to the steel guy to protect his friends felt underwhelming for some reasons. The final battle of Thor and Loki was good at first watch but Loki sacrificing just for future tricks didn't work after multiple viewings. Some of the earth's character were annoying. I did like slowly building Shield in the background. The movie does a great job to set up Loki for future but inturn decrease this movies worth.",21-Jun-20,3,0.09,0.693,0.217,0.9932,,,,,,
Hayden L,"Thor, directed by Kenneth Branagh, had some cool ideas coming into the film, but due to a weak back story, and poor execution of the characters and script, this film ended up being decently boring compared to some of the other films we've seen in phase one. Branagh brought his Shakespearian style to Thor, that worked for better and for worse. He utilized a few decent sweeping scenery shots, but the over abundance of dutch angles, really threw me off. Just like most of the other phase one films, Thor had some production issues, hiring, firing, and rehiring castings, while swapping through directors like it was going out of style. After all the smoke was cleared, they casted great talent, and a good director. Thor had a good amount of potential to be at least decent, but it simply felt like another set up film. With such a poor fish out of water story, the expositions were left underdeveloped and dry, while the tones are completely uneven. The first half hour is pretty good, seeming to be setting up for something interesting, but come the rest of the eighty minutes, it dragged at such a slow pace, relying on the characters to drive the film, and that just didn't work in this application. From a stand-alone film prospective, Thor probably has the most talented cast, selected by Sarah Finn and Randi Hiller; all the team needed to do was make a good script, to compliment the characters, and they couldn't do it. Most of these characters are pretty disposable, lacking charm, wit, humor, and overall likability. Chris Hemsworth seems like he was made for this role. At first, he was denied the role of Thor, but he tried out again, and solidified his casting. Hemsworth does bring a lot of charm and good comedic timing to the character, but he can overcook it at times, making Thor a little more over the top than usual. With such a powerful hero, it's hard to make a solo film for him because he is just so strong, that the risks just won't be there, and that's the risk Kenneth Branagh wanted to take, and it didn't quite pay off. Branagh tried to give him a character arch, but it was just so cliché, setting up for a predictable third act. Natalie Portman is such a talented actress, but she is one of the worst love intrests of the MCU, solely because the relationship with Thor is so laughably forced and underdeveloped. Her character is just so boring, I couldn't invest myself into her. Tom Hiddleston puts on the best performance of the film, as Loki, having a good motive, and great emotional connection with Thor. He sold all of his emotions seamlessly, making everything he did and say, feel genuine. I was honestly pretty excited to hear that Anthony Hopkins was going to be in this film, not just as a side character, but as Odin! Other than him trying his best, with great delivery, he basically just hung around the whole time, while Thor and Loki got all the best lines. The action really wasn't all that present, nor memorable at that. The only halfway decent action sequence there was, was the first battle; other than that, the action was just ehh, being a massive downfall considering the power of Thor. The film has a pretty weird production scale. Asgard was ginormous, with all these vibrant colors that pop all over the screen, but when it came to when they were on earth, the small town looked way too much like a movie set, being so dull and boring. Overall, it's like salt in an open wound to say that I didn't really like this movie. It had it's moments here and there, but there was nothing that stood out to make this film stand out on it's own, and hold it's value.",19-Jun-20,3,0.075,0.697,0.228,0.9992,,,,,,
Travis C,"It's a fairly good Marvel film. Not the best, not the worst. I like Sir Anthony Hopkins. A great actor and it's a treat to have him here. There are some great visuals. Especially near the end of the film. Portman does well in this film. Hemsworth makes a fair effort. But his best Marvel appearance is yet to come. All in all it's a slightly above average Marvel film.",18-Jun-20,3,0.108,0.706,0.186,0.4508,,,,,,
David A,Boring in the middle but with a strong beginning and ending,10-Jun-20,3,0.117,0.567,0.316,0.5859,,,,,,
Andr F,"In my opinion it is the second worst MCU film. Being a film, almost all, recorded with Dutch angle ""Thor"" leaves much to be desired. But it is not just mistakes that the film is made. Tom Hiddleston is an amazing Loki, Chris Hemsworth is a good Thor and Erik Selvig (Stellan Skarsgard) is well presented. Asgard is well shown and the film has wonderful visual effects but, despite all this, the film has other problems such as the poor characterization of Laufey (Colm Feore), Thor calling Odin (Anthony Hopkins) a fool and Jane Foster's (Natalie Portman) exaggerated protagonism. Apart from the part on Earth, the film is more or less but, as it is there, it is not so good.",8-Jun-20,3,0.106,0.709,0.185,0.9147,,,,,,
Beni Z,A fun Marvel movie. Loki wasn't the best villain for this film. Of course he becomes a better villain in the following movies. But in this movie he is not the best. The transformation Thor goes through is rushed and not as great as it should be. Jane was alright. The romance was alright. Their chemistry was alright. Overall this movie was alright.,4-Jun-20,3,0.134,0.59,0.276,0.8293,,,,,,
Alexander20 J,I didn't love this movie as much as I thought I would. Chris Hemsworth is good as Thor but I do not like what he was given to do especially when he goes to that small town in New Mexico. The love story between Jane and Thor wasn't all that interesting. The action isn't all that memorable and Loki being the villain didn't do much for me,2-Jun-20,3,0.226,0.749,0.026,-0.9454,,,,,,
Hugh N,"Funny and Chris Hemsworth's portrayal of Thor is humourous and likeable, and Tom Hiddleston as Loki makes to be a worthy villan not just in this film but in future installments but humor can't save this film from the bland dialogue and not as much action as fans would've liked.",2-Jun-20,3,0.058,0.704,0.239,0.832,,,,,,
5.Captian_America,,,,,,,,,,,,,
Quincy H,"This isn't necessarily the best Captain America movie, but it's the movie in which Captain America is the best because he's not so self-righteous. Skinny Steve is an icon, and oh my gosh how does Stanley Tucci look like a completely different person in everything he's in",1-May-22,3.5,0.127,0.812,0.061,-0.5402,,,,,,
Clyde N,"I really enjoyed it, the ending was cool",28-Apr-22,3.5,0,0.459,0.541,0.7089,,,,,,
lewis H,"action-packed, comedic fun and all-around good for the family.",28-Apr-22,3.5,0,0.403,0.597,0.836,,,,,,
